trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,dwt___66,66,127,0.05921,16,1.77573,5,1,11,135
2,dwt___66,66,127,0.05921,16,0.96220,5,1,11,135
3,dwt___66,66,127,0.05921,16,1.01373,5,1,11,135
4,dwt___66,66,127,0.05921,15,1.64030,5,1,11,135
5,dwt___66,66,127,0.05921,16,1.22736,5,1,11,135
6,dwt___66,66,127,0.05921,16,1.46668,5,1,11,135
7,dwt___66,66,127,0.05921,17,1.05765,5,1,11,135
8,dwt___66,66,127,0.05921,16,1.01693,5,1,11,135
9,dwt___66,66,127,0.05921,16,0.99281,5,1,11,135
10,dwt___66,66,127,0.05921,16,1.60322,5,1,11,135
11,dwt___66,66,127,0.05921,17,1.08925,5,1,11,135
12,dwt___66,66,127,0.05921,17,0.92934,5,1,11,135
13,dwt___66,66,127,0.05921,16,1.18726,5,1,11,135
14,dwt___66,66,127,0.05921,16,1.17565,5,1,11,135
15,dwt___66,66,127,0.05921,16,0.90895,5,1,11,135
16,dwt___66,66,127,0.05921,16,0.98511,5,1,11,135
17,dwt___66,66,127,0.05921,16,0.92502,5,1,11,135
18,dwt___66,66,127,0.05921,17,0.89082,5,1,11,135
19,dwt___66,66,127,0.05921,16,0.93317,5,1,11,135
20,dwt___66,66,127,0.05921,16,1.21449,5,1,11,135
21,dwt___66,66,127,0.05921,17,0.85402,5,1,11,135
22,dwt___66,66,127,0.05921,16,0.90091,5,1,11,135
23,dwt___66,66,127,0.05921,15,0.95097,5,1,11,135
24,dwt___66,66,127,0.05921,16,1.38310,5,1,11,135
25,dwt___66,66,127,0.05921,16,0.86862,5,1,11,135
26,dwt___66,66,127,0.05921,16,1.75350,5,1,11,135
27,dwt___66,66,127,0.05921,17,1.45767,5,1,11,135
28,dwt___66,66,127,0.05921,16,1.29695,5,1,11,135
29,dwt___66,66,127,0.05921,16,1.23950,5,1,11,135
30,dwt___66,66,127,0.05921,17,0.92922,5,1,11,135
