trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,bcspwr02,49,59,0.05017,15,0.93756,6,1,13,228
2,bcspwr02,49,59,0.05017,15,0.52198,6,1,13,228
3,bcspwr02,49,59,0.05017,15,0.46089,6,1,13,228
4,bcspwr02,49,59,0.05017,15,0.49147,6,1,13,228
5,bcspwr02,49,59,0.05017,16,0.46658,6,1,13,228
6,bcspwr02,49,59,0.05017,16,0.45119,6,1,13,228
7,bcspwr02,49,59,0.05017,15,0.57988,6,1,13,228
8,bcspwr02,49,59,0.05017,15,0.47503,6,1,13,228
9,bcspwr02,49,59,0.05017,16,0.52180,6,1,13,228
10,bcspwr02,49,59,0.05017,16,0.52231,6,1,13,228
11,bcspwr02,49,59,0.05017,15,0.53150,6,1,13,228
12,bcspwr02,49,59,0.05017,15,0.85142,6,1,13,228
13,bcspwr02,49,59,0.05017,16,0.48352,6,1,13,228
14,bcspwr02,49,59,0.05017,16,0.44997,6,1,13,228
15,bcspwr02,49,59,0.05017,15,0.74261,6,1,13,228
16,bcspwr02,49,59,0.05017,15,0.69578,6,1,13,228
17,bcspwr02,49,59,0.05017,16,0.65953,6,1,13,228
18,bcspwr02,49,59,0.05017,16,0.45190,6,1,13,228
19,bcspwr02,49,59,0.05017,15,0.45586,6,1,13,228
20,bcspwr02,49,59,0.05017,17,0.45129,6,1,13,228
21,bcspwr02,49,59,0.05017,15,0.64397,6,1,13,228
22,bcspwr02,49,59,0.05017,16,0.41729,6,1,13,228
23,bcspwr02,49,59,0.05017,16,0.41433,6,1,13,228
24,bcspwr02,49,59,0.05017,15,0.44737,6,1,13,228
25,bcspwr02,49,59,0.05017,16,0.46339,6,1,13,228
26,bcspwr02,49,59,0.05017,15,0.53011,6,1,13,228
27,bcspwr02,49,59,0.05017,15,0.63737,6,1,13,228
28,bcspwr02,49,59,0.05017,15,0.57009,6,1,13,228
29,bcspwr02,49,59,0.05017,16,0.48187,6,1,13,228
30,bcspwr02,49,59,0.05017,15,0.42522,6,1,13,228
