trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,jgl009,9,32,0.88889,22,0.02074,8,5,17,528
2,jgl009,9,32,0.88889,21,0.02021,8,5,17,528
3,jgl009,9,32,0.88889,22,0.03181,8,5,17,528
4,jgl009,9,32,0.88889,24,0.05225,8,5,17,528
5,jgl009,9,32,0.88889,22,0.06014,8,5,17,528
6,jgl009,9,32,0.88889,23,0.03755,8,5,17,528
7,jgl009,9,32,0.88889,22,0.05544,8,5,17,528
8,jgl009,9,32,0.88889,23,0.02644,8,5,17,528
9,jgl009,9,32,0.88889,23,0.03082,8,5,17,528
10,jgl009,9,32,0.88889,22,0.04570,8,5,17,528
11,jgl009,9,32,0.88889,22,0.02531,8,5,17,528
12,jgl009,9,32,0.88889,22,0.04205,8,5,17,528
13,jgl009,9,32,0.88889,22,0.04870,8,5,17,528
14,jgl009,9,32,0.88889,23,0.04968,8,5,17,528
15,jgl009,9,32,0.88889,23,0.05017,8,5,17,528
16,jgl009,9,32,0.88889,24,0.03258,8,5,17,528
17,jgl009,9,32,0.88889,23,0.06292,8,5,17,528
18,jgl009,9,32,0.88889,24,0.04985,8,5,17,528
19,jgl009,9,32,0.88889,23,0.05577,8,5,17,528
20,jgl009,9,32,0.88889,23,0.04512,8,5,17,528
21,jgl009,9,32,0.88889,23,0.03421,8,5,17,528
22,jgl009,9,32,0.88889,23,0.02027,8,5,17,528
23,jgl009,9,32,0.88889,24,0.03803,8,5,17,528
24,jgl009,9,32,0.88889,23,0.02374,8,5,17,528
25,jgl009,9,32,0.88889,22,0.02023,8,5,17,528
26,jgl009,9,32,0.88889,23,0.01923,8,5,17,528
27,jgl009,9,32,0.88889,21,0.02792,8,5,17,528
28,jgl009,9,32,0.88889,23,0.02445,8,5,17,528
29,jgl009,9,32,0.88889,21,0.02587,8,5,17,528
30,jgl009,9,32,0.88889,22,0.03735,8,5,17,528
