trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,can___24,24,68,0.24638,24,0.31499,8,3,17,528
2,can___24,24,68,0.24638,25,0.47148,8,3,17,528
3,can___24,24,68,0.24638,27,0.40735,8,3,17,528
4,can___24,24,68,0.24638,25,0.42608,8,3,17,528
5,can___24,24,68,0.24638,25,0.38097,8,3,17,528
6,can___24,24,68,0.24638,26,0.27288,8,3,17,528
7,can___24,24,68,0.24638,25,0.56612,8,3,17,528
8,can___24,24,68,0.24638,25,0.43057,8,3,17,528
9,can___24,24,68,0.24638,26,0.49952,8,3,17,528
10,can___24,24,68,0.24638,25,0.42925,8,3,17,528
11,can___24,24,68,0.24638,25,0.44076,8,3,17,528
12,can___24,24,68,0.24638,26,0.31289,8,3,17,528
13,can___24,24,68,0.24638,25,0.26045,8,3,17,528
14,can___24,24,68,0.24638,25,0.25257,8,3,17,528
15,can___24,24,68,0.24638,25,0.38988,8,3,17,528
16,can___24,24,68,0.24638,25,0.33914,8,3,17,528
17,can___24,24,68,0.24638,25,0.51030,8,3,17,528
18,can___24,24,68,0.24638,25,0.49733,8,3,17,528
19,can___24,24,68,0.24638,25,0.35702,8,3,17,528
20,can___24,24,68,0.24638,26,0.36108,8,3,17,528
21,can___24,24,68,0.24638,26,0.43453,8,3,17,528
22,can___24,24,68,0.24638,25,0.43904,8,3,17,528
23,can___24,24,68,0.24638,26,0.32664,8,3,17,528
24,can___24,24,68,0.24638,25,0.25458,8,3,17,528
25,can___24,24,68,0.24638,25,0.37335,8,3,17,528
26,can___24,24,68,0.24638,25,0.39943,8,3,17,528
27,can___24,24,68,0.24638,25,0.29949,8,3,17,528
28,can___24,24,68,0.24638,25,0.40746,8,3,17,528
29,can___24,24,68,0.24638,24,0.30005,8,3,17,528
30,can___24,24,68,0.24638,25,0.40534,8,3,17,528
