trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,bcspwr01,39,46,0.06208,14,0.27653,5,1,11,135
2,bcspwr01,39,46,0.06208,13,0.26454,5,1,11,135
3,bcspwr01,39,46,0.06208,14,0.28407,5,1,11,135
4,bcspwr01,39,46,0.06208,13,0.21877,5,1,11,135
5,bcspwr01,39,46,0.06208,13,0.26129,5,1,11,135
6,bcspwr01,39,46,0.06208,12,0.21741,5,1,11,135
7,bcspwr01,39,46,0.06208,13,0.25436,5,1,11,135
8,bcspwr01,39,46,0.06208,13,0.33728,5,1,11,135
9,bcspwr01,39,46,0.06208,14,0.23242,5,1,11,135
10,bcspwr01,39,46,0.06208,13,0.21990,5,1,11,135
11,bcspwr01,39,46,0.06208,13,0.21234,5,1,11,135
12,bcspwr01,39,46,0.06208,13,0.23655,5,1,11,135
13,bcspwr01,39,46,0.06208,13,0.27190,5,1,11,135
14,bcspwr01,39,46,0.06208,13,0.35427,5,1,11,135
15,bcspwr01,39,46,0.06208,14,0.35230,5,1,11,135
16,bcspwr01,39,46,0.06208,15,0.22205,5,1,11,135
17,bcspwr01,39,46,0.06208,13,0.22764,5,1,11,135
18,bcspwr01,39,46,0.06208,12,0.24635,5,1,11,135
19,bcspwr01,39,46,0.06208,12,0.35570,5,1,11,135
20,bcspwr01,39,46,0.06208,13,0.24353,5,1,11,135
21,bcspwr01,39,46,0.06208,13,0.26535,5,1,11,135
22,bcspwr01,39,46,0.06208,13,0.31315,5,1,11,135
23,bcspwr01,39,46,0.06208,13,0.22590,5,1,11,135
24,bcspwr01,39,46,0.06208,13,0.31512,5,1,11,135
25,bcspwr01,39,46,0.06208,13,0.20447,5,1,11,135
26,bcspwr01,39,46,0.06208,13,0.35902,5,1,11,135
27,bcspwr01,39,46,0.06208,13,0.22134,5,1,11,135
28,bcspwr01,39,46,0.06208,13,0.22322,5,1,11,135
29,bcspwr01,39,46,0.06208,13,0.23301,5,1,11,135
30,bcspwr01,39,46,0.06208,13,0.21320,5,1,11,135
