trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB,is_valid?
1,scen02,200,1235,0.06206,96,56.92787,44,1,89,85272, 6
2,scen02,200,1235,0.06206,94,55.30905,44,1,89,85272, 6
3,scen02,200,1235,0.06206,97,60.64222,44,1,89,85272, 3
4,scen02,200,1235,0.06206,96,55.52078,44,1,89,85272, 6
5,scen02,200,1235,0.06206,92,55.20577,44,1,89,85272, 9
6,scen02,200,1235,0.06206,95,56.77882,44,1,89,85272, 5
7,scen02,200,1235,0.06206,96,45.37333,44,1,89,85272, 5
8,scen02,200,1235,0.06206,93,54.10985,44,1,89,85272, 7
9,scen02,200,1235,0.06206,95,44.57830,44,1,89,85272, 5
10,scen02,200,1235,0.06206,93,55.14886,44,1,89,85272, 7
11,scen02,200,1235,0.06206,96,55.19475,44,1,89,85272, 6
12,scen02,200,1235,0.06206,96,55.47918,44,1,89,85272, 5
13,scen02,200,1235,0.06206,93,55.50670,44,1,89,85272, 8
14,scen02,200,1235,0.06206,96,42.12749,44,1,89,85272, 6
15,scen02,200,1235,0.06206,94,47.37492,44,1,89,85272, 8
16,scen02,200,1235,0.06206,97,41.04394,44,1,89,85272, 3
17,scen02,200,1235,0.06206,94,56.90245,44,1,89,85272, 7
18,scen02,200,1235,0.06206,94,53.00919,44,1,89,85272, 5
19,scen02,200,1235,0.06206,96,56.10765,44,1,89,85272, 4
20,scen02,200,1235,0.06206,96,48.54751,44,1,89,85272, 5
21,scen02,200,1235,0.06206,97,47.96473,44,1,89,85272, 6
22,scen02,200,1235,0.06206,94,68.97699,44,1,89,85272, 7
23,scen02,200,1235,0.06206,94,67.81829,44,1,89,85272, 7
24,scen02,200,1235,0.06206,95,61.32002,44,1,89,85272, 6
25,scen02,200,1235,0.06206,97,65.49040,44,1,89,85272, 4
26,scen02,200,1235,0.06206,95,57.91391,44,1,89,85272, 7
27,scen02,200,1235,0.06206,95,66.62592,44,1,89,85272, 6
28,scen02,200,1235,0.06206,96,51.45347,44,1,89,85272, 3
29,scen02,200,1235,0.06206,96,53.68878,44,1,89,85272, 4
30,scen02,200,1235,0.06206,96,64.44821,44,1,89,85272, 5
