trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_17x17,289,544,0.01307,18,24.60615,4,2,9,72
2,grid_17x17,289,544,0.01307,19,21.53209,4,2,9,72
3,grid_17x17,289,544,0.01307,19,19.73772,4,2,9,72
4,grid_17x17,289,544,0.01307,19,18.63313,4,2,9,72
5,grid_17x17,289,544,0.01307,20,19.77766,4,2,9,72
6,grid_17x17,289,544,0.01307,19,17.23075,4,2,9,72
7,grid_17x17,289,544,0.01307,18,26.49701,4,2,9,72
8,grid_17x17,289,544,0.01307,18,17.27353,4,2,9,72
9,grid_17x17,289,544,0.01307,19,17.64479,4,2,9,72
10,grid_17x17,289,544,0.01307,19,16.57827,4,2,9,72
11,grid_17x17,289,544,0.01307,19,18.38056,4,2,9,72
12,grid_17x17,289,544,0.01307,18,36.65031,4,2,9,72
13,grid_17x17,289,544,0.01307,18,38.37246,4,2,9,72
14,grid_17x17,289,544,0.01307,19,28.30361,4,2,9,72
15,grid_17x17,289,544,0.01307,18,31.89343,4,2,9,72
16,grid_17x17,289,544,0.01307,20,27.24615,4,2,9,72
17,grid_17x17,289,544,0.01307,18,19.78666,4,2,9,72
18,grid_17x17,289,544,0.01307,19,17.67680,4,2,9,72
19,grid_17x17,289,544,0.01307,18,28.64711,4,2,9,72
20,grid_17x17,289,544,0.01307,18,48.46609,4,2,9,72
21,grid_17x17,289,544,0.01307,19,26.96612,4,2,9,72
22,grid_17x17,289,544,0.01307,19,28.26097,4,2,9,72
23,grid_17x17,289,544,0.01307,19,26.41751,4,2,9,72
24,grid_17x17,289,544,0.01307,19,24.93148,4,2,9,72
25,grid_17x17,289,544,0.01307,18,39.86376,4,2,9,72
26,grid_17x17,289,544,0.01307,19,36.68059,4,2,9,72
27,grid_17x17,289,544,0.01307,18,38.57152,4,2,9,72
28,grid_17x17,289,544,0.01307,18,39.94927,4,2,9,72
29,grid_17x17,289,544,0.01307,19,27.56459,4,2,9,72
30,grid_17x17,289,544,0.01307,18,34.80226,4,2,9,72
