trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_16x17,272,511,0.01386,19,16.20502,4,2,9,72
2,grid_16x17,272,511,0.01386,18,20.42158,4,2,9,72
3,grid_16x17,272,511,0.01386,18,34.36389,4,2,9,72
4,grid_16x17,272,511,0.01386,19,23.89144,4,2,9,72
5,grid_16x17,272,511,0.01386,19,16.82477,4,2,9,72
6,grid_16x17,272,511,0.01386,18,18.16018,4,2,9,72
7,grid_16x17,272,511,0.01386,18,19.22511,4,2,9,72
8,grid_16x17,272,511,0.01386,18,32.70016,4,2,9,72
9,grid_16x17,272,511,0.01386,19,14.56857,4,2,9,72
10,grid_16x17,272,511,0.01386,18,17.45094,4,2,9,72
11,grid_16x17,272,511,0.01386,18,25.69855,4,2,9,72
12,grid_16x17,272,511,0.01386,19,23.73915,4,2,9,72
13,grid_16x17,272,511,0.01386,18,21.13357,4,2,9,72
14,grid_16x17,272,511,0.01386,19,14.42503,4,2,9,72
15,grid_16x17,272,511,0.01386,18,28.90185,4,2,9,72
16,grid_16x17,272,511,0.01386,19,19.78714,4,2,9,72
17,grid_16x17,272,511,0.01386,18,31.57565,4,2,9,72
18,grid_16x17,272,511,0.01386,18,41.12460,4,2,9,72
19,grid_16x17,272,511,0.01386,18,28.17500,4,2,9,72
20,grid_16x17,272,511,0.01386,19,16.64788,4,2,9,72
21,grid_16x17,272,511,0.01386,18,20.04920,4,2,9,72
22,grid_16x17,272,511,0.01386,18,22.47476,4,2,9,72
23,grid_16x17,272,511,0.01386,19,23.17575,4,2,9,72
24,grid_16x17,272,511,0.01386,18,43.54745,4,2,9,72
25,grid_16x17,272,511,0.01386,18,22.54142,4,2,9,72
26,grid_16x17,272,511,0.01386,18,34.36265,4,2,9,72
27,grid_16x17,272,511,0.01386,18,31.36242,4,2,9,72
28,grid_16x17,272,511,0.01386,19,21.76037,4,2,9,72
29,grid_16x17,272,511,0.01386,18,25.45273,4,2,9,72
30,grid_16x17,272,511,0.01386,18,21.91652,4,2,9,72
