trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_15x15,225,420,0.01667,18,13.08854,4,2,9,72
2,grid_15x15,225,420,0.01667,19,8.10664,4,2,9,72
3,grid_15x15,225,420,0.01667,19,7.92874,4,2,9,72
4,grid_15x15,225,420,0.01667,19,8.42685,4,2,9,72
5,grid_15x15,225,420,0.01667,18,9.65228,4,2,9,72
6,grid_15x15,225,420,0.01667,20,8.41314,4,2,9,72
7,grid_15x15,225,420,0.01667,17,11.44103,4,2,9,72
8,grid_15x15,225,420,0.01667,19,9.27810,4,2,9,72
9,grid_15x15,225,420,0.01667,19,9.41390,4,2,9,72
10,grid_15x15,225,420,0.01667,18,11.34825,4,2,9,72
11,grid_15x15,225,420,0.01667,18,11.10248,4,2,9,72
12,grid_15x15,225,420,0.01667,18,13.69696,4,2,9,72
13,grid_15x15,225,420,0.01667,18,12.11003,4,2,9,72
14,grid_15x15,225,420,0.01667,18,12.99858,4,2,9,72
15,grid_15x15,225,420,0.01667,18,12.40454,4,2,9,72
16,grid_15x15,225,420,0.01667,18,12.24532,4,2,9,72
17,grid_15x15,225,420,0.01667,17,17.99040,4,2,9,72
18,grid_15x15,225,420,0.01667,18,14.86922,4,2,9,72
19,grid_15x15,225,420,0.01667,17,19.40480,4,2,9,72
20,grid_15x15,225,420,0.01667,18,11.30306,4,2,9,72
21,grid_15x15,225,420,0.01667,18,15.41054,4,2,9,72
22,grid_15x15,225,420,0.01667,19,11.98031,4,2,9,72
23,grid_15x15,225,420,0.01667,18,10.24352,4,2,9,72
24,grid_15x15,225,420,0.01667,17,13.37692,4,2,9,72
25,grid_15x15,225,420,0.01667,18,18.24852,4,2,9,72
26,grid_15x15,225,420,0.01667,17,16.72710,4,2,9,72
27,grid_15x15,225,420,0.01667,18,10.86145,4,2,9,72
28,grid_15x15,225,420,0.01667,19,9.17433,4,2,9,72
29,grid_15x15,225,420,0.01667,18,12.83214,4,2,9,72
30,grid_15x15,225,420,0.01667,18,15.11505,4,2,9,72
