trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_15x16,240,449,0.01566,18,12.20143,4,2,9,72
2,grid_15x16,240,449,0.01566,18,9.72944,4,2,9,72
3,grid_15x16,240,449,0.01566,18,9.66474,4,2,9,72
4,grid_15x16,240,449,0.01566,18,11.03489,4,2,9,72
5,grid_15x16,240,449,0.01566,18,9.56986,4,2,9,72
6,grid_15x16,240,449,0.01566,18,10.84733,4,2,9,72
7,grid_15x16,240,449,0.01566,18,10.63431,4,2,9,72
8,grid_15x16,240,449,0.01566,19,11.28771,4,2,9,72
9,grid_15x16,240,449,0.01566,18,12.55746,4,2,9,72
10,grid_15x16,240,449,0.01566,18,15.76993,4,2,9,72
11,grid_15x16,240,449,0.01566,19,12.62755,4,2,9,72
12,grid_15x16,240,449,0.01566,17,28.11784,4,2,9,72
13,grid_15x16,240,449,0.01566,17,21.25101,4,2,9,72
14,grid_15x16,240,449,0.01566,19,12.94361,4,2,9,72
15,grid_15x16,240,449,0.01566,20,12.43914,4,2,9,72
16,grid_15x16,240,449,0.01566,19,13.31888,4,2,9,72
17,grid_15x16,240,449,0.01566,18,18.55651,4,2,9,72
18,grid_15x16,240,449,0.01566,18,13.78890,4,2,9,72
19,grid_15x16,240,449,0.01566,18,14.64972,4,2,9,72
20,grid_15x16,240,449,0.01566,18,12.84475,4,2,9,72
21,grid_15x16,240,449,0.01566,18,13.37144,4,2,9,72
22,grid_15x16,240,449,0.01566,19,12.37713,4,2,9,72
23,grid_15x16,240,449,0.01566,18,15.05284,4,2,9,72
24,grid_15x16,240,449,0.01566,19,11.20551,4,2,9,72
25,grid_15x16,240,449,0.01566,18,10.63203,4,2,9,72
26,grid_15x16,240,449,0.01566,18,11.34805,4,2,9,72
27,grid_15x16,240,449,0.01566,18,12.69941,4,2,9,72
28,grid_15x16,240,449,0.01566,18,11.37574,4,2,9,72
29,grid_15x16,240,449,0.01566,19,10.69999,4,2,9,72
30,grid_15x16,240,449,0.01566,19,11.71680,4,2,9,72
