trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_10x10,100,180,0.03636,15,1.58988,4,2,9,72
2,grid_10x10,100,180,0.03636,16,2.14634,4,2,9,72
3,grid_10x10,100,180,0.03636,16,2.26748,4,2,9,72
4,grid_10x10,100,180,0.03636,16,1.64770,4,2,9,72
5,grid_10x10,100,180,0.03636,16,1.54955,4,2,9,72
6,grid_10x10,100,180,0.03636,16,1.99710,4,2,9,72
7,grid_10x10,100,180,0.03636,16,1.29763,4,2,9,72
8,grid_10x10,100,180,0.03636,17,1.20859,4,2,9,72
9,grid_10x10,100,180,0.03636,16,1.99334,4,2,9,72
10,grid_10x10,100,180,0.03636,16,1.79579,4,2,9,72
11,grid_10x10,100,180,0.03636,16,1.50592,4,2,9,72
12,grid_10x10,100,180,0.03636,16,1.22821,4,2,9,72
13,grid_10x10,100,180,0.03636,17,1.29937,4,2,9,72
14,grid_10x10,100,180,0.03636,16,1.69459,4,2,9,72
15,grid_10x10,100,180,0.03636,15,2.91172,4,2,9,72
16,grid_10x10,100,180,0.03636,16,1.32620,4,2,9,72
17,grid_10x10,100,180,0.03636,17,1.79867,4,2,9,72
18,grid_10x10,100,180,0.03636,15,2.13697,4,2,9,72
19,grid_10x10,100,180,0.03636,16,1.70753,4,2,9,72
20,grid_10x10,100,180,0.03636,16,1.60287,4,2,9,72
21,grid_10x10,100,180,0.03636,17,1.27505,4,2,9,72
22,grid_10x10,100,180,0.03636,16,1.24914,4,2,9,72
23,grid_10x10,100,180,0.03636,17,1.22007,4,2,9,72
24,grid_10x10,100,180,0.03636,17,1.31562,4,2,9,72
25,grid_10x10,100,180,0.03636,17,1.27032,4,2,9,72
26,grid_10x10,100,180,0.03636,17,1.22690,4,2,9,72
27,grid_10x10,100,180,0.03636,17,1.19599,4,2,9,72
28,grid_10x10,100,180,0.03636,15,2.42000,4,2,9,72
29,grid_10x10,100,180,0.03636,16,1.58246,4,2,9,72
30,grid_10x10,100,180,0.03636,17,1.31858,4,2,9,72
