trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_6x6,36,60,0.09524,14,0.19587,4,2,9,72
2,grid_6x6,36,60,0.09524,16,0.13376,4,2,9,72
3,grid_6x6,36,60,0.09524,14,0.11646,4,2,9,72
4,grid_6x6,36,60,0.09524,13,0.13179,4,2,9,72
5,grid_6x6,36,60,0.09524,15,0.11568,4,2,9,72
6,grid_6x6,36,60,0.09524,13,0.22251,4,2,9,72
7,grid_6x6,36,60,0.09524,13,0.15700,4,2,9,72
8,grid_6x6,36,60,0.09524,13,0.19241,4,2,9,72
9,grid_6x6,36,60,0.09524,13,0.16436,4,2,9,72
10,grid_6x6,36,60,0.09524,14,0.17486,4,2,9,72
11,grid_6x6,36,60,0.09524,15,0.16750,4,2,9,72
12,grid_6x6,36,60,0.09524,14,0.14823,4,2,9,72
13,grid_6x6,36,60,0.09524,15,0.24945,4,2,9,72
14,grid_6x6,36,60,0.09524,13,0.28715,4,2,9,72
15,grid_6x6,36,60,0.09524,15,0.13260,4,2,9,72
16,grid_6x6,36,60,0.09524,14,0.15407,4,2,9,72
17,grid_6x6,36,60,0.09524,14,0.13828,4,2,9,72
18,grid_6x6,36,60,0.09524,14,0.13749,4,2,9,72
19,grid_6x6,36,60,0.09524,14,0.20216,4,2,9,72
20,grid_6x6,36,60,0.09524,15,0.13172,4,2,9,72
21,grid_6x6,36,60,0.09524,15,0.19265,4,2,9,72
22,grid_6x6,36,60,0.09524,15,0.12115,4,2,9,72
23,grid_6x6,36,60,0.09524,13,0.23763,4,2,9,72
24,grid_6x6,36,60,0.09524,13,0.22031,4,2,9,72
25,grid_6x6,36,60,0.09524,16,0.12955,4,2,9,72
26,grid_6x6,36,60,0.09524,14,0.14052,4,2,9,72
27,grid_6x6,36,60,0.09524,14,0.16197,4,2,9,72
28,grid_6x6,36,60,0.09524,15,0.12559,4,2,9,72
29,grid_6x6,36,60,0.09524,14,0.27923,4,2,9,72
30,grid_6x6,36,60,0.09524,14,0.19016,4,2,9,72
