trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_18x19,342,647,0.01110,19,27.04772,4,2,9,72
2,grid_18x19,342,647,0.01110,18,55.38796,4,2,9,72
3,grid_18x19,342,647,0.01110,19,40.20211,4,2,9,72
4,grid_18x19,342,647,0.01110,19,35.78549,4,2,9,72
5,grid_18x19,342,647,0.01110,19,24.93509,4,2,9,72
6,grid_18x19,342,647,0.01110,19,42.94358,4,2,9,72
7,grid_18x19,342,647,0.01110,20,39.07510,4,2,9,72
8,grid_18x19,342,647,0.01110,18,45.06002,4,2,9,72
9,grid_18x19,342,647,0.01110,19,40.18093,4,2,9,72
10,grid_18x19,342,647,0.01110,18,74.17123,4,2,9,72
11,grid_18x19,342,647,0.01110,19,46.25217,4,2,9,72
12,grid_18x19,342,647,0.01110,19,41.35755,4,2,9,72
13,grid_18x19,342,647,0.01110,18,71.67557,4,2,9,72
14,grid_18x19,342,647,0.01110,19,47.49688,4,2,9,72
15,grid_18x19,342,647,0.01110,19,50.59339,4,2,9,72
16,grid_18x19,342,647,0.01110,19,43.65685,4,2,9,72
17,grid_18x19,342,647,0.01110,18,82.08959,4,2,9,72
18,grid_18x19,342,647,0.01110,20,39.82754,4,2,9,72
19,grid_18x19,342,647,0.01110,19,43.18554,4,2,9,72
20,grid_18x19,342,647,0.01110,19,42.54102,4,2,9,72
21,grid_18x19,342,647,0.01110,20,49.45323,4,2,9,72
22,grid_18x19,342,647,0.01110,18,66.40982,4,2,9,72
23,grid_18x19,342,647,0.01110,19,44.42149,4,2,9,72
24,grid_18x19,342,647,0.01110,18,56.48369,4,2,9,72
25,grid_18x19,342,647,0.01110,20,37.12701,4,2,9,72
26,grid_18x19,342,647,0.01110,19,37.51679,4,2,9,72
27,grid_18x19,342,647,0.01110,20,39.21124,4,2,9,72
28,grid_18x19,342,647,0.01110,19,51.66476,4,2,9,72
29,grid_18x19,342,647,0.01110,19,40.12609,4,2,9,72
30,grid_18x19,342,647,0.01110,19,48.94903,4,2,9,72
