trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_6x7,42,71,0.08246,15,0.16550,4,2,9,72
2,grid_6x7,42,71,0.08246,15,0.17620,4,2,9,72
3,grid_6x7,42,71,0.08246,15,0.16338,4,2,9,72
4,grid_6x7,42,71,0.08246,15,0.16745,4,2,9,72
5,grid_6x7,42,71,0.08246,14,0.30375,4,2,9,72
6,grid_6x7,42,71,0.08246,14,0.19406,4,2,9,72
7,grid_6x7,42,71,0.08246,15,0.20721,4,2,9,72
8,grid_6x7,42,71,0.08246,16,0.15866,4,2,9,72
9,grid_6x7,42,71,0.08246,15,0.20736,4,2,9,72
10,grid_6x7,42,71,0.08246,15,0.19204,4,2,9,72
11,grid_6x7,42,71,0.08246,14,0.30893,4,2,9,72
12,grid_6x7,42,71,0.08246,15,0.16761,4,2,9,72
13,grid_6x7,42,71,0.08246,14,0.29623,4,2,9,72
14,grid_6x7,42,71,0.08246,14,0.15747,4,2,9,72
15,grid_6x7,42,71,0.08246,13,0.16671,4,2,9,72
16,grid_6x7,42,71,0.08246,14,0.16222,4,2,9,72
17,grid_6x7,42,71,0.08246,15,0.15406,4,2,9,72
18,grid_6x7,42,71,0.08246,16,0.16164,4,2,9,72
19,grid_6x7,42,71,0.08246,15,0.16032,4,2,9,72
20,grid_6x7,42,71,0.08246,14,0.23674,4,2,9,72
21,grid_6x7,42,71,0.08246,15,0.16219,4,2,9,72
22,grid_6x7,42,71,0.08246,14,0.19070,4,2,9,72
23,grid_6x7,42,71,0.08246,13,0.20047,4,2,9,72
24,grid_6x7,42,71,0.08246,14,0.20101,4,2,9,72
25,grid_6x7,42,71,0.08246,14,0.16662,4,2,9,72
26,grid_6x7,42,71,0.08246,15,0.20034,4,2,9,72
27,grid_6x7,42,71,0.08246,14,0.18751,4,2,9,72
28,grid_6x7,42,71,0.08246,13,0.20439,4,2,9,72
29,grid_6x7,42,71,0.08246,14,0.23654,4,2,9,72
30,grid_6x7,42,71,0.08246,15,0.16666,4,2,9,72
