trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_8x8,64,112,0.05556,15,0.46451,4,2,9,72
2,grid_8x8,64,112,0.05556,16,0.43098,4,2,9,72
3,grid_8x8,64,112,0.05556,15,0.53963,4,2,9,72
4,grid_8x8,64,112,0.05556,15,0.40188,4,2,9,72
5,grid_8x8,64,112,0.05556,16,0.47480,4,2,9,72
6,grid_8x8,64,112,0.05556,16,0.52676,4,2,9,72
7,grid_8x8,64,112,0.05556,15,0.45518,4,2,9,72
8,grid_8x8,64,112,0.05556,15,0.72225,4,2,9,72
9,grid_8x8,64,112,0.05556,15,0.68939,4,2,9,72
10,grid_8x8,64,112,0.05556,15,0.50831,4,2,9,72
11,grid_8x8,64,112,0.05556,15,0.79491,4,2,9,72
12,grid_8x8,64,112,0.05556,15,0.94113,4,2,9,72
13,grid_8x8,64,112,0.05556,16,0.44453,4,2,9,72
14,grid_8x8,64,112,0.05556,16,0.43700,4,2,9,72
15,grid_8x8,64,112,0.05556,16,0.65369,4,2,9,72
16,grid_8x8,64,112,0.05556,15,0.52694,4,2,9,72
17,grid_8x8,64,112,0.05556,16,0.47512,4,2,9,72
18,grid_8x8,64,112,0.05556,15,0.63695,4,2,9,72
19,grid_8x8,64,112,0.05556,15,0.73401,4,2,9,72
20,grid_8x8,64,112,0.05556,16,0.80391,4,2,9,72
21,grid_8x8,64,112,0.05556,16,0.55529,4,2,9,72
22,grid_8x8,64,112,0.05556,16,0.71263,4,2,9,72
23,grid_8x8,64,112,0.05556,15,0.83208,4,2,9,72
24,grid_8x8,64,112,0.05556,15,0.55061,4,2,9,72
25,grid_8x8,64,112,0.05556,16,0.87708,4,2,9,72
26,grid_8x8,64,112,0.05556,16,0.44674,4,2,9,72
27,grid_8x8,64,112,0.05556,16,0.51641,4,2,9,72
28,grid_8x8,64,112,0.05556,16,0.57948,4,2,9,72
29,grid_8x8,64,112,0.05556,16,0.46537,4,2,9,72
30,grid_8x8,64,112,0.05556,16,0.56645,4,2,9,72
