trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_16x16,256,480,0.01471,18,16.21731,4,2,9,72
2,grid_16x16,256,480,0.01471,18,12.06707,4,2,9,72
3,grid_16x16,256,480,0.01471,19,12.50746,4,2,9,72
4,grid_16x16,256,480,0.01471,19,14.43805,4,2,9,72
5,grid_16x16,256,480,0.01471,18,27.00150,4,2,9,72
6,grid_16x16,256,480,0.01471,18,26.21076,4,2,9,72
7,grid_16x16,256,480,0.01471,18,20.92008,4,2,9,72
8,grid_16x16,256,480,0.01471,19,14.23588,4,2,9,72
9,grid_16x16,256,480,0.01471,19,24.47459,4,2,9,72
10,grid_16x16,256,480,0.01471,18,29.85558,4,2,9,72
11,grid_16x16,256,480,0.01471,18,19.71440,4,2,9,72
12,grid_16x16,256,480,0.01471,18,14.24193,4,2,9,72
13,grid_16x16,256,480,0.01471,18,18.28357,4,2,9,72
14,grid_16x16,256,480,0.01471,19,13.06644,4,2,9,72
15,grid_16x16,256,480,0.01471,19,13.33571,4,2,9,72
16,grid_16x16,256,480,0.01471,18,12.66200,4,2,9,72
17,grid_16x16,256,480,0.01471,18,12.83190,4,2,9,72
18,grid_16x16,256,480,0.01471,18,13.09970,4,2,9,72
19,grid_16x16,256,480,0.01471,18,18.89957,4,2,9,72
20,grid_16x16,256,480,0.01471,18,21.73976,4,2,9,72
21,grid_16x16,256,480,0.01471,19,13.92300,4,2,9,72
22,grid_16x16,256,480,0.01471,18,19.11533,4,2,9,72
23,grid_16x16,256,480,0.01471,19,22.77482,4,2,9,72
24,grid_16x16,256,480,0.01471,19,37.50834,4,2,9,72
25,grid_16x16,256,480,0.01471,19,22.19317,4,2,9,72
26,grid_16x16,256,480,0.01471,17,27.91225,4,2,9,72
27,grid_16x16,256,480,0.01471,18,16.83929,4,2,9,72
28,grid_16x16,256,480,0.01471,18,12.97802,4,2,9,72
29,grid_16x16,256,480,0.01471,19,19.67219,4,2,9,72
30,grid_16x16,256,480,0.01471,17,37.42988,4,2,9,72
