trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_7x8,56,97,0.06299,15,0.56305,4,2,9,72
2,grid_7x8,56,97,0.06299,15,0.45265,4,2,9,72
3,grid_7x8,56,97,0.06299,15,0.35953,4,2,9,72
4,grid_7x8,56,97,0.06299,15,0.63036,4,2,9,72
5,grid_7x8,56,97,0.06299,15,0.44586,4,2,9,72
6,grid_7x8,56,97,0.06299,15,0.43174,4,2,9,72
7,grid_7x8,56,97,0.06299,15,0.36761,4,2,9,72
8,grid_7x8,56,97,0.06299,15,0.34127,4,2,9,72
9,grid_7x8,56,97,0.06299,15,0.34344,4,2,9,72
10,grid_7x8,56,97,0.06299,14,0.42146,4,2,9,72
11,grid_7x8,56,97,0.06299,15,0.56735,4,2,9,72
12,grid_7x8,56,97,0.06299,15,0.38712,4,2,9,72
13,grid_7x8,56,97,0.06299,15,0.76641,4,2,9,72
14,grid_7x8,56,97,0.06299,14,0.40890,4,2,9,72
15,grid_7x8,56,97,0.06299,14,0.65629,4,2,9,72
16,grid_7x8,56,97,0.06299,16,0.33712,4,2,9,72
17,grid_7x8,56,97,0.06299,15,0.43479,4,2,9,72
18,grid_7x8,56,97,0.06299,15,0.44774,4,2,9,72
19,grid_7x8,56,97,0.06299,16,0.35465,4,2,9,72
20,grid_7x8,56,97,0.06299,15,0.53588,4,2,9,72
21,grid_7x8,56,97,0.06299,15,0.33986,4,2,9,72
22,grid_7x8,56,97,0.06299,14,0.81510,4,2,9,72
23,grid_7x8,56,97,0.06299,15,0.38846,4,2,9,72
24,grid_7x8,56,97,0.06299,14,0.48005,4,2,9,72
25,grid_7x8,56,97,0.06299,15,0.42153,4,2,9,72
26,grid_7x8,56,97,0.06299,15,0.42642,4,2,9,72
27,grid_7x8,56,97,0.06299,15,0.60415,4,2,9,72
28,grid_7x8,56,97,0.06299,15,0.51356,4,2,9,72
29,grid_7x8,56,97,0.06299,14,0.62404,4,2,9,72
30,grid_7x8,56,97,0.06299,15,0.32951,4,2,9,72
