trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_12x12,144,264,0.02564,17,3.13942,4,2,9,72
2,grid_12x12,144,264,0.02564,18,2.69630,4,2,9,72
3,grid_12x12,144,264,0.02564,17,2.63436,4,2,9,72
4,grid_12x12,144,264,0.02564,17,2.60273,4,2,9,72
5,grid_12x12,144,264,0.02564,17,2.84768,4,2,9,72
6,grid_12x12,144,264,0.02564,18,2.71531,4,2,9,72
7,grid_12x12,144,264,0.02564,17,2.68498,4,2,9,72
8,grid_12x12,144,264,0.02564,17,2.90045,4,2,9,72
9,grid_12x12,144,264,0.02564,17,5.07895,4,2,9,72
10,grid_12x12,144,264,0.02564,17,3.20489,4,2,9,72
11,grid_12x12,144,264,0.02564,16,4.83939,4,2,9,72
12,grid_12x12,144,264,0.02564,16,4.18652,4,2,9,72
13,grid_12x12,144,264,0.02564,16,4.96688,4,2,9,72
14,grid_12x12,144,264,0.02564,18,2.78491,4,2,9,72
15,grid_12x12,144,264,0.02564,17,3.26328,4,2,9,72
16,grid_12x12,144,264,0.02564,17,2.98831,4,2,9,72
17,grid_12x12,144,264,0.02564,17,4.73022,4,2,9,72
18,grid_12x12,144,264,0.02564,17,3.39396,4,2,9,72
19,grid_12x12,144,264,0.02564,17,5.48043,4,2,9,72
20,grid_12x12,144,264,0.02564,17,4.82012,4,2,9,72
21,grid_12x12,144,264,0.02564,17,2.80917,4,2,9,72
22,grid_12x12,144,264,0.02564,17,2.88415,4,2,9,72
23,grid_12x12,144,264,0.02564,17,4.05376,4,2,9,72
24,grid_12x12,144,264,0.02564,16,3.93714,4,2,9,72
25,grid_12x12,144,264,0.02564,17,3.23967,4,2,9,72
26,grid_12x12,144,264,0.02564,17,3.29437,4,2,9,72
27,grid_12x12,144,264,0.02564,18,3.06523,4,2,9,72
28,grid_12x12,144,264,0.02564,17,3.80490,4,2,9,72
29,grid_12x12,144,264,0.02564,16,4.39992,4,2,9,72
30,grid_12x12,144,264,0.02564,17,2.87127,4,2,9,72
