trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,grid_11x11,121,220,0.03030,16,2.17552,4,2,9,72
2,grid_11x11,121,220,0.03030,17,1.97858,4,2,9,72
3,grid_11x11,121,220,0.03030,17,2.22715,4,2,9,72
4,grid_11x11,121,220,0.03030,16,3.05426,4,2,9,72
5,grid_11x11,121,220,0.03030,16,1.90791,4,2,9,72
6,grid_11x11,121,220,0.03030,16,2.62109,4,2,9,72
7,grid_11x11,121,220,0.03030,17,2.39371,4,2,9,72
8,grid_11x11,121,220,0.03030,18,1.78782,4,2,9,72
9,grid_11x11,121,220,0.03030,18,1.99996,4,2,9,72
10,grid_11x11,121,220,0.03030,17,2.85593,4,2,9,72
11,grid_11x11,121,220,0.03030,17,2.30078,4,2,9,72
12,grid_11x11,121,220,0.03030,18,1.88887,4,2,9,72
13,grid_11x11,121,220,0.03030,16,2.69501,4,2,9,72
14,grid_11x11,121,220,0.03030,17,1.86108,4,2,9,72
15,grid_11x11,121,220,0.03030,16,1.80400,4,2,9,72
16,grid_11x11,121,220,0.03030,17,1.90928,4,2,9,72
17,grid_11x11,121,220,0.03030,15,4.59500,4,2,9,72
18,grid_11x11,121,220,0.03030,17,1.97181,4,2,9,72
19,grid_11x11,121,220,0.03030,18,1.90351,4,2,9,72
20,grid_11x11,121,220,0.03030,17,1.87591,4,2,9,72
21,grid_11x11,121,220,0.03030,17,2.34064,4,2,9,72
22,grid_11x11,121,220,0.03030,17,1.82397,4,2,9,72
23,grid_11x11,121,220,0.03030,18,2.03019,4,2,9,72
24,grid_11x11,121,220,0.03030,17,2.10531,4,2,9,72
25,grid_11x11,121,220,0.03030,17,2.04398,4,2,9,72
26,grid_11x11,121,220,0.03030,16,2.55394,4,2,9,72
27,grid_11x11,121,220,0.03030,17,1.95162,4,2,9,72
28,grid_11x11,121,220,0.03030,17,1.85559,4,2,9,72
29,grid_11x11,121,220,0.03030,17,2.08453,4,2,9,72
30,grid_11x11,121,220,0.03030,17,1.88840,4,2,9,72
