trial,filename,order,size,density,fitness,time(seconds),Max_degree,Min_Degree,LB,UB
1,CELAR6-SUB1,28,314,0.83069,73,2.17936,27,19,55,19737
2,CELAR6-SUB1,28,314,0.83069,74,2.79001,27,19,55,19737
3,CELAR6-SUB1,28,314,0.83069,71,2.34860,27,19,55,19737
4,CELAR6-SUB1,28,314,0.83069,73,1.76387,27,19,55,19737
5,CELAR6-SUB1,28,314,0.83069,72,1.85444,27,19,55,19737
6,CELAR6-SUB1,28,314,0.83069,73,2.14079,27,19,55,19737
7,CELAR6-SUB1,28,314,0.83069,73,3.19377,27,19,55,19737
8,CELAR6-SUB1,28,314,0.83069,74,1.47582,27,19,55,19737
9,CELAR6-SUB1,28,314,0.83069,72,1.73472,27,19,55,19737
10,CELAR6-SUB1,28,314,0.83069,71,1.62813,27,19,55,19737
11,CELAR6-SUB1,28,314,0.83069,74,1.54866,27,19,55,19737
12,CELAR6-SUB1,28,314,0.83069,71,2.40208,27,19,55,19737
13,CELAR6-SUB1,28,314,0.83069,73,2.13676,27,19,55,19737
14,CELAR6-SUB1,28,314,0.83069,75,1.98468,27,19,55,19737
15,CELAR6-SUB1,28,314,0.83069,72,2.45436,27,19,55,19737
16,CELAR6-SUB1,28,314,0.83069,71,1.81267,27,19,55,19737
17,CELAR6-SUB1,28,314,0.83069,72,2.01328,27,19,55,19737
18,CELAR6-SUB1,28,314,0.83069,73,2.07721,27,19,55,19737
19,CELAR6-SUB1,28,314,0.83069,75,1.75180,27,19,55,19737
20,CELAR6-SUB1,28,314,0.83069,75,1.90264,27,19,55,19737
21,CELAR6-SUB1,28,314,0.83069,74,2.19586,27,19,55,19737
22,CELAR6-SUB1,28,314,0.83069,73,1.75245,27,19,55,19737
23,CELAR6-SUB1,28,314,0.83069,72,2.97238,27,19,55,19737
24,CELAR6-SUB1,28,314,0.83069,73,2.17615,27,19,55,19737
25,CELAR6-SUB1,28,314,0.83069,73,1.30979,27,19,55,19737
26,CELAR6-SUB1,28,314,0.83069,74,1.36723,27,19,55,19737
27,CELAR6-SUB1,28,314,0.83069,74,1.69752,27,19,55,19737
28,CELAR6-SUB1,28,314,0.83069,72,3.39542,27,19,55,19737
29,CELAR6-SUB1,28,314,0.83069,73,1.56656,27,19,55,19737
30,CELAR6-SUB1,28,314,0.83069,73,1.31522,27,19,55,19737
